permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,target,primary_category,funding_total_usd_clean,market_share,industry_hhi,clustering_coefficient,degree_centrality,weak_tie_ratio,num_investors,working_capital,breakout_velocity
/organization/20lines,20lines,http://20lines.com,Curated Web|Education|Parenting|Publishing,1236454,operating,ITA,20,Roncade,Roncade,3,2012-01-01,2012-11-15,2014-06-01,1,Education,1236454.0,0.002280466013601584,0.05425620539485939,0.023692719366707547,119.0,0.11627906976744186,13.0,14.02775897223648,25.3848597842044
/organization/20x200,20x200,http://www.20x200.com,Art|E-Commerce|Social Commerce,2800000,operating,USA,NY,New York City,New York,2,2007-09-01,2009-10-01,2010-08-01,1,E-Commerce,2800000.0,0.00015220713160189148,0.08048398670297363,0.11279592671052144,1214.0,0.024650780608052585,29.0,14.845130332288226,4.0442962810695615
/organization/21diamonds-india,21Diamonds,http://www.21diamonds.de,E-Commerce,6369507,operating,IND,10,New Delhi,Gurgaon,1,2012-06-01,2012-11-15,2012-11-15,1,Unknown,6369507.0,2.985631729959609e-05,0.0014423226788110742,0.09477087746683019,102.0,0.029325513196480937,2.0,15.667032787516746,40.15301697537521
/organization/21e6,21 Inc,https://21.co,Big Data|Bitcoin|Hardware + Software|Technology,121050000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-05-01,2013-11-17,2015-03-10,1,Bitcoin,121050000.0,0.9961013063911834,0.9922290154478043,0.24478253377796247,966.0,0.011374211560335024,10.0,18.611714249609392,0.21122275658819636
/organization/21grams,21GRAMS,http://www.21grams.se,Software,2580000,operating,SWE,26,Stockholm,Stockholm,1,,2006-04-03,2006-04-03,1,Unknown,2580000.0,1.2093447520029087e-05,0.0014423226788110742,0.020905340617683132,15.0,0.13157894736842105,1.0,14.763300344494624,169.76793729210684
/organization/21vianet,21viaNet,http://www.ch.21vianet.com,Software|Web Hosting,396000000,ipo,CHN,22,Beijing,Beijing,5,2009-10-16,2008-02-13,2014-12-04,1,Web Hosting,396000000.0,0.1792861014062536,0.09357984281318017,0.06925564122576053,323.0,0.04008633980881899,12.0,19.796924771744006,7.6615896685718425
/organization/22nd-century-group,22nd Century Group,http://www.xxiicentury.com,Biotechnology,15034750,ipo,USA,NY,NY - Other,Clarence,6,1998-01-01,2010-12-28,2014-09-18,1,Unknown,15034750.0,7.047362794641756e-05,0.0014423226788110742,0.0,0.0,0.0,0.0,16.525874812910793,0.0
/organization/22seeds,22seeds,http://www.22seeds.com,Android|Apps|Internet|iPhone|Mobile|Sales and Marketing|Software|Web Development|Web Tools,250000,closed,ISR,5,Tel Aviv,Tel Aviv,1,2010-01-01,2013-10-15,2013-10-15,0,Apps,250000.0,0.00010133687324589795,0.05501780189882839,0.28570632177500277,205.0,0.009746588693957116,1.0,12.429220196836383,1.863220433592848
/organization/2345-com,2345.com,http://www.2345.com,Software,1610541,operating,CHN,23,Shanghai,Shanghai,2,2005-09-01,2010-05-01,2010-10-01,1,Unknown,1610541.0,7.549222117191924e-06,0.0014423226788110742,0.8041587690935444,577.0,0.003465003465003465,1.0,14.292081326270841,4.327977169298412
/organization/2359-media,2359 Media,http://www.2359media.com,Mobile,615000,operating,SGP,,Singapore,Singapore,1,2009-02-01,2011-01-11,2011-01-11,1,Unknown,615000.0,2.882740397216236e-06,0.0014423226788110742,0.039023302486341845,28.0,0.07092198581560284,1.0,13.329379172803593,82.61836929096248
/organization/23andme,23andMe,http://23andme.com,Biotechnology|Search,227049900,operating,USA,CA,SF Bay Area,Mountain View,8,2006-04-01,2005-11-02,2015-07-03,1,Search,227049900.0,0.5496102370900511,0.34185706941359056,0.19071538809114436,2600.0,0.014594054842921885,37.0,19.240680379480832,0.7980500296363475
/organization/23press,23press,http://www.23press.com,Blogging Platforms|Software,50000,operating,CAN,ON,Toronto,Toronto,1,2011-06-01,2011-08-15,2011-08-15,1,Software,50000.0,3.3810836200852153e-06,0.016038692107825596,0.0,0.0,10.0,3.0,10.819798284210286,4155.277169608121
/organization/24-7-customer,[24]7,http://247-inc.com,Customer Service|Predictive Analytics|Services|Software|Technology,-,operating,USA,CA,SF Bay Area,Campbell,1,2000-04-01,2003-07-01,2003-07-01,1,Predictive Analytics,0.0,0.0,0.2163635723476555,0.8041587690935444,577.0,0.003465003465003465,1.0,0.0,0.0
/organization/247-techies,247 Techies,http://www.247techies.com,Hardware + Software,600000,operating,USA,NY,New York City,New York,1,,2012-11-05,2012-11-05,1,Unknown,600000.0,2.812429655820718e-06,0.0014423226788110742,0.3783866651800647,543.0,0.00736105999263894,3.0,13.304686600863562,8.559153504172313
/organization/248-solidstate,248 SolidState,,Computers|Software|Technology,500000,operating,USA,CA,Los Angeles,Rolling Hills Estates,1,2007-01-01,2009-07-23,2009-07-23,1,Software,500000.0,3.3810836200852156e-05,0.016038692107825596,0.0,0.0,0.0,0.0,13.122365377402328,0.0
/organization/24h00,24h00,http://www.boosket.com/,Advertising|E-Commerce|Marketing Automation,-,closed,FRA,A8,Paris,Paris,1,2006-01-01,2006-08-01,2006-08-01,0,E-Commerce,0.0,0.0,0.08048398670297363,0.14912476307280634,107.0,0.018656716417910446,1.0,0.0,0.0
